,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,annual_inc_joint,dti_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
id,1.0,0.9975401341167067,-0.008287989409645006,-0.008287989409645006,-0.008554223691551474,-0.05340191349949567,-0.01291898590948178,0.015055475458858825,0.005692177625003179,0.002300398434385209,0.0006596623185938183,0.006321803914588295,-0.037318962097420416,0.006309349306948184,0.0035011727350262654,0.003774427370297316,-0.014478788484577836,0.19218658246319534,0.1920577910774415,-0.21988313607681392,-0.22007779076962175,-0.18835290252182119,-0.16588462282240723,-0.015779262235664483,-0.07002726889359778,-0.07059431765866049,-0.0688436247417238,0.011952851607929806,0.02122101645627781,,0.05625995079050015,0.09284599685463187,-0.004834047101791787,0.0023120557137716116,0.01124119250318092,0.012745588867384923,0.002459572072610725,0.0063825770172574355,0.0013708038662062622,0.00230952903845834,0.009510012769271239,0.009613697703769226,0.011796767900894164,0.004960032603001627,-0.0005433787743025577,0.0003988710327974433,0.019248806331380718,-0.013578607803835145,-0.0009141031153008352,-0.0014121577522256865,0.015502070579128639,0.007555605955932182,0.02219543308785039,-0.03552859083178182,0.0010749387189270905,0.001961144756426614,8.753687896787443e-05,0.004593452447192308,0.009478437786204974,-0.005305386180091296,-0.01303598816566891,0.004085474982339034,-0.005001442709962943,-0.009251654419157271,-0.0012722091887710848,-0.006172395289154303,-0.006015214024910322,-0.014950748080923998,0.008984244394899154,-0.028204523879056052,0.0006646728418241743,-0.00027471634012840536,-0.017973369197536268,-0.013697994931674262,0.005433405291377459,-0.0052536527950170645,-0.000488427158550217,-0.0006116008924314815,0.008886353827143959,-0.010365694608100292,-0.03496289171804975,0.004595392114906708,-0.0009910576435445803,0.015609097211736324,0.012864068511109517,0.017943941204994544,0.020869633135790877
member_id,0.9975401341167067,1.0,-0.00861950063224471,-0.00861950063224471,-0.008884811396390392,-0.0534466339742559,-0.013274367670398995,0.014957713743835387,0.005805869268720565,0.0022614221993262715,0.0007152248411953953,0.006185680714521988,-0.03736647272545483,0.006110761216881048,0.0036353601562420026,0.003744758811243875,-0.014672537268498032,0.19188347814974968,0.1917551383765028,-0.2199448991918051,-0.22013870946040504,-0.18844266110246916,-0.1658607119285844,-0.015748025699955967,-0.06979899340084961,-0.0703717341243109,-0.0689738359974116,0.011891009240103561,0.02118067155053569,,0.05635844467211267,0.09370021717505332,-0.004732019572536011,0.0023289474173510756,0.01090319275999107,0.008559727834152861,0.0005633177290804576,0.005267055786124044,-0.0022383146075945354,0.0036732954840539315,0.005955336287416536,0.00894062073011158,0.006729165007717134,0.003529331819125641,-0.0032945824012009,0.00044752749106639623,0.019147712907970158,-0.013022346121463814,-0.005038374135664773,-0.0017351845947845555,0.01528065828751771,0.007317158134278437,0.022034913172284547,-0.03520368089242567,0.0006546873019470815,0.0019773962235934348,-8.788126164528882e-06,0.004731352133657271,0.0094762167119859,-0.005469176728164943,-0.013260829340702832,0.004028713323569472,-0.005281023549059488,-0.00939661762149124,-0.0014998169661776424,-0.006180000457710454,-0.0059158760402485445,-0.014975856384726491,0.00888945908558158,-0.028131518527712344,0.00037056707831510427,-0.0003172383573383803,-0.01794193452122916,-0.013587104324932427,0.00523676392343818,-0.005196706335808021,-0.0004061072852209027,-0.0007000552280228266,0.008723321301887172,-0.010436718388717677,-0.034596356043927655,0.004624884571271795,-0.0009081370545255396,0.01529676022577338,0.012688150725514843,0.01782241439669945,0.02068440247021953
loan_amnt,-0.008287989409645006,-0.00861950063224471,1.0,1.0,0.9999944873453467,0.1405721295000577,0.9412046763263368,0.30573366755886483,0.00610323196229931,-0.010424065121134377,-0.0390400532145958,-0.03486269365303026,-0.014108493030551275,0.18821436698000496,-0.08889868112057887,0.3346562422750239,0.20842977882329305,0.6239258977095371,0.6239605392844069,0.7061839374833335,0.7061568323445176,0.5562662878781606,0.7365845637796272,0.0518879563061243,0.07787021052700105,0.07918977968128008,0.2598640066834177,-0.027454277378970434,-0.018556346761709787,,0.43886593090318005,0.018768674298507787,0.0006453719172813135,-0.021436761546343056,0.3253521510632417,-0.04048703006651401,0.027938283164968977,-0.0132896342145618,0.02453718890336588,-0.01098511608063341,0.13556424809380005,-0.10732399488555479,-0.05131288645765182,-0.028005340434450562,0.4121649459896129,0.019116586106068353,0.33087658729194985,0.009637775506994378,0.07149956096568562,0.007574014802905817,-0.01011414019847415,0.23815647765001463,0.20266886676505566,0.06421069466153607,-0.005382284391764231,-0.0020956618151784425,0.13711443396766157,0.18375415954068372,0.06654752832053251,0.0416864165800826,0.23157442775566967,0.0518168883343467,-0.057152519300285816,0.008587452301140611,-0.04982845305351546,-0.05735620180565822,0.21299025070212546,0.16456463232571772,0.2221707908529369,0.20350935753070015,0.07485721519254364,0.17486678336667247,0.1750795435322886,0.16629496236700295,0.18932752657119026,-0.0009050825759559099,0.0024606197091205616,-0.031333726817922826,-0.042157942274770384,0.10505629471467408,0.03151649984824476,-0.12442963888356019,0.0020866074000904966,0.34728855277757,0.2895649224545908,0.3958427720098617,0.2030932834386801
funded_amnt,-0.008287989409645006,-0.00861950063224471,1.0,1.0,0.9999944873453467,0.1405721295000577,0.9412046763263368,0.30573366755886483,0.00610323196229931,-0.010424065121134377,-0.0390400532145958,-0.03486269365303026,-0.014108493030551275,0.18821436698000496,-0.08889868112057887,0.3346562422750239,0.20842977882329305,0.6239258977095371,0.6239605392844069,0.7061839374833335,0.7061568323445176,0.5562662878781606,0.7365845637796272,0.0518879563061243,0.07787021052700105,0.07918977968128008,0.2598640066834177,-0.027454277378970434,-0.018556346761709787,,0.43886593090318005,0.018768674298507787,0.0006453719172813135,-0.021436761546343056,0.3253521510632417,-0.04048703006651401,0.027938283164968977,-0.0132896342145618,0.02453718890336588,-0.01098511608063341,0.13556424809380005,-0.10732399488555479,-0.05131288645765182,-0.028005340434450562,0.4121649459896129,0.019116586106068353,0.33087658729194985,0.009637775506994378,0.07149956096568562,0.007574014802905817,-0.01011414019847415,0.23815647765001463,0.20266886676505566,0.06421069466153607,-0.005382284391764231,-0.0020956618151784425,0.13711443396766157,0.18375415954068372,0.06654752832053251,0.0416864165800826,0.23157442775566967,0.0518168883343467,-0.057152519300285816,0.008587452301140611,-0.04982845305351546,-0.05735620180565822,0.21299025070212546,0.16456463232571772,0.2221707908529369,0.20350935753070015,0.07485721519254364,0.17486678336667247,0.1750795435322886,0.16629496236700295,0.18932752657119026,-0.0009050825759559099,0.0024606197091205616,-0.031333726817922826,-0.042157942274770384,0.10505629471467408,0.03151649984824476,-0.12442963888356019,0.0020866074000904966,0.34728855277757,0.2895649224545908,0.3958427720098617,0.2030932834386801
funded_amnt_inv,-0.008554223691551474,-0.008884811396390392,0.9999944873453467,0.9999944873453467,1.0,0.14020936262708433,0.9411866175902347,0.3058026272132284,0.006043536873543742,-0.010447637074461441,-0.03910297642238229,-0.034832863849436006,-0.014015740798976098,0.18821151403644965,-0.0888847187301011,0.33466368392378865,0.20846354079565857,0.6238575972868913,0.623899177682128,0.7062585597343267,0.7062389074316778,0.5563772535552002,0.7364828156521841,0.05186054593228904,0.07786911464409571,0.0791857313282543,0.25987763105591344,-0.027480157551254845,-0.018534549677516044,,0.4392126570149656,0.01846073819371169,0.0006296339091833639,-0.021435225714868146,0.3254011910029738,-0.04060018110108633,0.027902049352288388,-0.01343788710421761,0.024387700359591657,-0.010900852474700809,0.13552866294773078,-0.10741140590452976,-0.0514389070414828,-0.02811800405765669,0.41226768671806635,0.01891239688495882,0.3309584690564113,0.009548135465715733,0.07151517945330821,0.007450900378838801,-0.010220963397737027,0.23819768059512555,0.2028285283077534,0.06407312883060362,-0.0053972729577615895,-0.002097287516828822,0.13716946786828546,0.18384040285107053,0.06659251322819908,0.04174998679913324,0.2316303021076682,0.05185619048442673,-0.05715539169051708,0.008646715205514315,-0.0498099455164915,-0.05738869756167857,0.21298703010030856,0.16452471207382852,0.22221148426390924,0.2035760219388903,0.07484155086501212,0.17487918409770023,0.1751275308827758,0.16625258905029397,0.18932518441443233,-0.0009180686058363022,0.002447553648021949,-0.031349177093968145,-0.042263297614163114,0.10509621570320112,0.03138219609101215,-0.12439426615997086,0.002070211289119494,0.347355187141802,0.2895536515760651,0.3959727044788819,0.20308479024799497
int_rate,-0.05340191349949567,-0.0534466339742559,0.1405721295000577,0.1405721295000577,0.14020936262708433,1.0,0.1244257934352752,-0.09039889341515167,0.07793225670494305,0.04370999094450441,0.23113929106930942,-0.015459195774139574,0.009398267351542809,-0.012985093977833165,0.05823060749454823,-0.05741173921858214,-0.04021091939321321,0.1063146702923232,0.10608053852856691,0.0872561074840131,0.08702751011944454,-0.05737915159987,0.5046167579840399,0.06368469393904976,0.11982452848122252,0.12318017760359526,0.06975510390659131,0.019234326409950354,0.0016524776288456599,,-0.0990257337755612,0.28734506089674394,0.02749460735972104,0.009696983237280831,-0.0870108056886659,0.22598259339976684,0.04427689278912534,0.2450276062481585,0.19940272858422484,-0.12843474973585015,0.05242808853015712,0.18355013550673707,0.1767229684953764,0.1712299654408965,-0.10468458413164262,0.28779878892318206,-0.17488609499923086,0.17097282505695816,0.02068540302873804,0.2570768403636663,0.2287819662114088,-0.08187367464945583,-0.29322658416938874,0.22661964846521085,0.011912560666613399,0.009646745931519644,-0.08095637335926209,-0.1601335794559757,-0.1220279067985831,-0.15017914138271385,-0.0761307539073927,-0.09682768923490945,0.023891098250917318,-0.18454456011154458,0.013656904840996699,0.04463233435311488,-0.018757823762913347,0.06642219115955034,-0.08329897704157685,-0.11596767386609744,0.03326818299616758,-0.022542752864316503,-0.06769897210656779,0.06393776989628276,-0.014050121521185122,0.010100211269225091,0.021896605919500454,0.03134351358321027,0.2568312188513209,-0.061652028306098144,0.23394206572179896,0.06507771966970849,0.012233847130472304,-0.12108127940830815,-0.0006764724835386907,-0.2572219102936508,0.004055139630019747
installment,-0.01291898590948178,-0.013274367670398995,0.9412046763263368,0.9412046763263368,0.9411866175902347,0.1244257934352752,1.0,0.29739250883704516,0.0018929642174970276,-0.0021294727631451385,-0.006255117767066055,-0.03704573682821512,-0.025066004481102102,0.16999479408505605,-0.0733985861279209,0.3140900607909114,0.18350861328951046,0.5067316156650415,0.5067446953031759,0.7325788608006023,0.7325450721098226,0.6082796963676347,0.6549897764339095,0.06373878820126912,0.08206069248320542,0.08416383923748694,0.26413022797072533,-0.022146356262298553,-0.018268423864971683,,0.4051408342071606,-0.001333737789976105,0.0041081779415526294,-0.01680249950622258,0.29546769592655947,-0.0188573800455014,0.015979538432339343,0.0001357450095259206,0.021197333231230193,-0.011280700974017507,0.1160036573707396,-0.10256447754529012,-0.022896800125823697,-0.004272580819256191,0.385606213800391,0.0250631834824086,0.30347649459998305,0.015149386298246543,0.05615088457703208,0.030314399716386102,0.010294954060479413,0.21590232848641036,0.17480930045165577,0.0710711915159543,-0.002995773465078247,-0.0007603439166435736,0.10978880654244376,0.15880019703704765,0.047058623545189075,0.02712032469539538,0.20212764243477593,0.03305681919694261,-0.051084116884118076,-0.01182380703759241,-0.04697313850192551,-0.04564559241513486,0.20227064127705124,0.16109195890701725,0.2082377649763986,0.18697140430907302,0.056563304599129824,0.16464271405782738,0.16214203956297416,0.16107891699555427,0.17064919816562196,0.00037806149947188254,0.005279226456755587,-0.024302159200463816,-0.010655703264021509,0.08521693209865343,0.038320409407673825,-0.11266286617040944,0.01027855981083181,0.3153730082440032,0.2652236891762191,0.3587180820919016,0.18121475086388816
annual_inc,0.015055475458858825,0.014957713743835387,0.30573366755886483,0.30573366755886483,0.3058026272132284,-0.09039889341515167,0.29739250883704516,1.0,-0.0682374940612214,0.03790997668700001,0.022989833917895223,-0.04366264934837317,-0.08753833137746642,0.12232793541216853,-0.006738683668921668,0.270173980268432,0.1598040243805094,0.17178011927056258,0.17183644580349286,0.2338169876639672,0.23385356173110572,0.20998790808630874,0.1573456351081419,0.02522402084618231,0.011109666122434789,0.010418375245040785,0.09826388922566298,-0.007785018550710592,-0.02249764868663877,,0.7110908870241505,-0.08587303887573934,0.012628160954243382,-0.0005089748400952731,0.3790080750615277,0.04400299356545538,0.0632219834154457,0.08816300062477676,0.11950470075772027,-0.07573640284095126,0.21580821633006358,-0.05026373951340161,-0.006532070561286757,-0.01184418832163538,0.32383775657145825,0.00977274553820082,0.2565527065491365,0.06375820446947486,0.0524324521716049,0.08008481596131152,0.04544562045215852,0.29364241727006707,0.1437141838943528,-0.0010329840520230651,0.0074222692309774295,0.005692641972695717,0.10756735258827661,0.13014772100446434,0.03140311653047435,-0.021289799639213465,0.20904640118665968,0.025358188381685024,-0.04201357786155607,-0.038173838393427154,-0.036920109198103304,0.01639952837368425,0.10689249117346229,0.07420409977658392,0.12044574880978194,0.12537918847035368,0.08412654218371705,0.07637466809145504,0.09953415697206064,0.07373860465836907,0.12211352332207881,0.005850463251855282,0.011601919854262363,0.005708957590589762,0.0453303917216337,-0.0058660557261197436,-0.015208929467141304,-0.05031240491508046,0.03832335431316221,0.39112885454084334,0.29756342674757796,0.25718392548632674,0.24263660023582068
dti,0.005692177625003179,0.005805869268720565,0.00610323196229931,0.00610323196229931,0.006043536873543742,0.07793225670494305,0.0018929642174970276,-0.0682374940612214,1.0,-0.005867610479526862,0.0032770971178294034,-0.0002187182178175055,0.08346453236376952,0.10436353059692269,-0.023199954187428137,0.04813511389420286,0.08049949451517059,0.022774090153016013,0.022735973687709975,-0.015898344438081767,-0.015935422928695736,-0.029406308874925253,0.039613675019889355,-0.0011502382605560278,0.009552974876844474,0.010185042376863743,-0.01819417342040857,-0.003588291437501488,0.0023714043816332768,,0.0016544085647224398,0.006210990231572099,0.0005834252356734566,-0.0076186665436663,-0.005142186775269587,0.005226780930043601,0.028667934808514584,0.020348119355812364,0.031041298735574447,-0.03644738061453664,0.028134111057292136,-0.004219326460602459,-0.0030159466849441876,-0.0010526548416162317,0.010856482976858248,0.03476886294180345,0.026436857940788514,0.011065052394491664,0.011850654746174711,0.0014160660005691121,0.055647442445346626,-0.05036590732244778,-0.029073101599011573,0.06783490439993196,-0.0023404889357585257,-0.002667081798179331,0.012865824008854235,0.01827623534727176,-0.0120878775265567,-0.037805811481660345,-0.02004363923129536,0.001114268830150887,-0.0017566706725035224,-0.0013687402558863854,-0.0033531109455923764,-0.02206009829606003,0.06276436224481284,0.09422493139556885,0.04061682452981573,0.028171177017334396,0.08172950450954439,0.06851309404962747,0.04962380352615353,0.09545381427633688,0.10428004099128954,-0.002250508517720775,0.002671255185862506,-0.005475991463492198,0.03169776998195873,0.04202006152225982,0.06382563548056684,-0.015054437973379069,-0.014954209703982852,-0.0006741836304165735,0.10083081322840591,0.012969447051148433,0.11368466026185933
delinq_2yrs,0.002300398434385209,0.0022614221993262715,-0.010424065121134377,-0.010424065121134377,-0.010447637074461441,0.04370999094450441,-0.0021294727631451385,0.03790997668700001,-0.005867610479526862,1.0,0.036138860642392356,-0.5537544546202067,-0.09550244785960606,0.040005165677531235,-0.01522028965808987,-0.03580146930669359,0.11462261468993917,0.0009391023990570024,0.0009256270317545783,-0.013172962764167738,-0.013186191261318618,-0.019933862544071715,0.018005151251736896,0.03679660457692884,0.004776767021474452,0.005139200444154797,-0.016187737691967366,0.0769252626247129,-0.41655474218582705,,0.0704798428771026,0.01582675344290835,0.13268544872463656,0.0007622206056188471,0.05815544769615196,0.001993933874835864,0.05504304793974508,-0.0020450485711279278,-0.01723314432763899,0.0049885129410165065,0.061544834343808585,-0.012284002296647145,-0.02596008063559841,-0.05431764802021627,-0.06361685742873197,0.0032640241654867007,-0.04808283554494658,0.04083023452373151,0.01474592186552056,0.035142907750743205,-0.05290845873999531,0.049644814245201396,-0.05424412074100718,-0.017033323973776326,0.14423861338784383,0.030823412545627333,0.07946459849945706,0.077313370580074,0.03087710691078929,0.01640895216158436,0.072891132688577,0.054750137688780724,-0.4802153976417222,-0.031239121902464157,-0.5052853188463168,0.2020650139758311,-0.05198115472765937,-0.01343831427958643,-0.03442771355202556,0.028650385959024638,0.08218652312031276,-0.002977677558038249,0.07203955731230412,-0.017750784682239184,0.03680912442597478,0.04822078197239009,0.11140134738909595,0.6497620193990681,-0.017942940873779796,-0.45142232589557907,-0.016562455244756132,-0.040507674392861556,0.011365669353473707,0.059348801752754886,0.02692901343453758,-0.08179313212288028,0.0614655717680135
