,0,1
226,Manhattan,Manhattan
227,Manhattan,Manhattan
228,Manhattan,Manhattan
229,Manhattan,Manhattan
230,Brooklyn,Manhattan
231,Manhattan,Manhattan
232,Manhattan,Manhattan
233,Manhattan,Manhattan
234,Manhattan,Manhattan
235,Manhattan,Manhattan
236,Manhattan,Manhattan
237,Manhattan,Manhattan
238,Bronx,Bronx
239,Bronx,Bronx
240,Bronx,Bronx
241,Bronx,Bronx
242,Bronx,Bronx
243,Bronx,Bronx
244,Bronx,Bronx
245,Bronx,Bronx
246,Bronx,Bronx
247,Bronx,Bronx
248,Bronx,Bronx
249,Bronx,Bronx
250,Bronx,Bronx
251,Bronx,Bronx
252,Bronx,Bronx
253,Bronx,Bronx
254,Bronx,Bronx
255,Bronx,Bronx
256,Bronx,Bronx
257,Bronx,Bronx
258,Bronx,Bronx
259,Bronx,Bronx
260,Bronx,Bronx
261,Bronx,Bronx
262,Bronx,Bronx
263,Bronx,Bronx
264,Bronx,Bronx
265,Bronx,Bronx
266,Bronx,Bronx
267,Bronx,Bronx
268,Bronx,Bronx
269,Bronx,Bronx
270,Bronx,Bronx
271,Bronx,Bronx
272,Bronx,Bronx
273,Bronx,Bronx
274,Bronx,Bronx
275,Bronx,Bronx
276,Bronx,Bronx
277,Bronx,Bronx
278,Bronx,Bronx
279,Bronx,Bronx
280,Bronx,Bronx
281,Bronx,Bronx
282,Bronx,Bronx
283,Bronx,Bronx
284,Bronx,Bronx
285,Bronx,Bronx
286,Bronx,Bronx
287,Bronx,Bronx
288,Bronx,Bronx
289,Bronx,Bronx
290,Bronx,Bronx
291,Bronx,Bronx
292,Bronx,Bronx
293,Bronx,Bronx
294,Bronx,Bronx
295,Bronx,Bronx
296,Bronx,Bronx
297,Bronx,Bronx
298,Bronx,Bronx
299,Bronx,Bronx
300,Bronx,Bronx
301,Bronx,Bronx
302,Bronx,Bronx
303,Bronx,Bronx
304,Bronx,Bronx
305,Bronx,Bronx
306,Bronx,Bronx
307,Bronx,Bronx
308,Bronx,Bronx
309,Bronx,Bronx
310,Bronx,Bronx
311,Bronx,Bronx
312,Bronx,Bronx
313,Bronx,Bronx
314,Bronx,Bronx
