,scenario,reg_type,pca_components,knn_num_neighbors,r-squared
100,"pca, no scale",KNN,4,44,0.15137362501524054
101,"no pca, no scale",KNN,4,44,0.14509738483967494
102,scale+pca,KNN,5,44,0.3210495861735311
103,"pca, no scale",KNN,5,44,0.14973836718253775
104,"no pca, no scale",KNN,5,44,0.14509738483967494
105,scale+pca,KNN,6,44,0.32168456866452955
106,"pca, no scale",KNN,6,44,0.14526943323406494
107,"no pca, no scale",KNN,6,44,0.14509738483967494
108,scale+pca,KNN,1,45,0.0982179224545634
109,"pca, no scale",KNN,1,45,0.032333675126690165
110,"no pca, no scale",KNN,1,45,0.1449952696789859
111,scale+pca,KNN,2,45,0.271243064715749
112,"pca, no scale",KNN,2,45,0.0556327652862908
113,"no pca, no scale",KNN,2,45,0.1449952696789859
114,scale+pca,KNN,3,45,0.31113081538191456
115,"pca, no scale",KNN,3,45,0.15109075139581551
116,"no pca, no scale",KNN,3,45,0.1449952696789859
117,scale+pca,KNN,4,45,0.3142100579371717
118,"pca, no scale",KNN,4,45,0.15109256387032588
119,"no pca, no scale",KNN,4,45,0.1449952696789859
120,scale+pca,KNN,5,45,0.32076262515552567
121,"pca, no scale",KNN,5,45,0.14934856696305132
122,"no pca, no scale",KNN,5,45,0.1449952696789859
123,scale+pca,KNN,6,45,0.3217547764756167
124,"pca, no scale",KNN,6,45,0.14502915026040375
125,"no pca, no scale",KNN,6,45,0.1449952696789859
126,scale+pca,KNN,1,46,0.09882569410844766
127,"pca, no scale",KNN,1,46,0.0323614279746709
128,"no pca, no scale",KNN,1,46,0.14489014731892602
129,scale+pca,KNN,2,46,0.2711811964727955
130,"pca, no scale",KNN,2,46,0.0556271808472657
131,"no pca, no scale",KNN,2,46,0.14489014731892602
132,scale+pca,KNN,3,46,0.3111436544193148
133,"pca, no scale",KNN,3,46,0.15091314850814375
134,"no pca, no scale",KNN,3,46,0.14489014731892602
135,scale+pca,KNN,4,46,0.3143635166841249
136,"pca, no scale",KNN,4,46,0.15083893381385471
137,"no pca, no scale",KNN,4,46,0.14489014731892602
138,scale+pca,KNN,5,46,0.3206594367403156
139,"pca, no scale",KNN,5,46,0.14879378019123757
140,"no pca, no scale",KNN,5,46,0.14489014731892602
141,scale+pca,KNN,6,46,0.32221665122890264
142,"pca, no scale",KNN,6,46,0.14486100484977116
143,"no pca, no scale",KNN,6,46,0.14489014731892602
144,scale+pca,KNN,1,47,0.09956659910682153
145,"pca, no scale",KNN,1,47,0.032582165287847964
146,"no pca, no scale",KNN,1,47,0.14477911763176743
147,scale+pca,KNN,2,47,0.27146097418910875
148,"pca, no scale",KNN,2,47,0.05540860739032094
149,"no pca, no scale",KNN,2,47,0.14477911763176743
150,scale+pca,KNN,3,47,0.31110315964945
151,"pca, no scale",KNN,3,47,0.15061765543630912
152,"no pca, no scale",KNN,3,47,0.14477911763176743
153,scale+pca,KNN,4,47,0.31410323082724123
154,"pca, no scale",KNN,4,47,0.1506204752066047
155,"no pca, no scale",KNN,4,47,0.14477911763176743
156,scale+pca,KNN,5,47,0.3209294601623751
157,"pca, no scale",KNN,5,47,0.14889645769368243
158,"no pca, no scale",KNN,5,47,0.14477911763176743
159,scale+pca,KNN,6,47,0.3225898646388313
160,"pca, no scale",KNN,6,47,0.14500609625148442
161,"no pca, no scale",KNN,6,47,0.14477911763176743
162,scale+pca,KNN,1,48,0.10025324131643332
163,"pca, no scale",KNN,1,48,0.03292152515053859
164,"no pca, no scale",KNN,1,48,0.1444708727783287
165,scale+pca,KNN,2,48,0.2722761725632018
166,"pca, no scale",KNN,2,48,0.0553614602541469
167,"no pca, no scale",KNN,2,48,0.1444708727783287
168,scale+pca,KNN,3,48,0.3113397069774968
169,"pca, no scale",KNN,3,48,0.14998506800728573
170,"no pca, no scale",KNN,3,48,0.1444708727783287
171,scale+pca,KNN,4,48,0.3144243045937106
172,"pca, no scale",KNN,4,48,0.15034281861356213
173,"no pca, no scale",KNN,4,48,0.1444708727783287
174,scale+pca,KNN,5,48,0.32121768874850165
175,"pca, no scale",KNN,5,48,0.14836830721912397
176,"no pca, no scale",KNN,5,48,0.1444708727783287
177,scale+pca,KNN,6,48,0.3225710200761188
178,"pca, no scale",KNN,6,48,0.1443881144957957
179,"no pca, no scale",KNN,6,48,0.1444708727783287
180,scale+pca,KNN,1,49,0.10079588163185504
181,"pca, no scale",KNN,1,49,0.03307161813420767
182,"no pca, no scale",KNN,1,49,0.14412606828627006
183,scale+pca,KNN,2,49,0.2725249849420591
184,"pca, no scale",KNN,2,49,0.0552995013109312
185,"no pca, no scale",KNN,2,49,0.14412606828627006
186,scale+pca,KNN,3,49,0.31129750255372024
187,"pca, no scale",KNN,3,49,0.15001308855463225
188,"no pca, no scale",KNN,3,49,0.14412606828627006
189,scale+pca,KNN,4,49,0.31433902480412157
190,"pca, no scale",KNN,4,49,0.14988396794222913
191,"no pca, no scale",KNN,4,49,0.14412606828627006
192,scale+pca,KNN,5,49,0.3214195981482951
193,"pca, no scale",KNN,5,49,0.14813927864377807
194,"no pca, no scale",KNN,5,49,0.14412606828627006
195,scale+pca,KNN,6,49,0.3230882952303198
196,"pca, no scale",KNN,6,49,0.14403432466730148
197,"no pca, no scale",KNN,6,49,0.14412606828627006
198,scale+pca,KNN,1,50,0.10150479528923761
199,"pca, no scale",KNN,1,50,0.0333726654555645
200,"no pca, no scale",KNN,1,50,0.1438065097440412
201,scale+pca,KNN,2,50,0.27260325300852006
202,"pca, no scale",KNN,2,50,0.05513771428752956
203,"no pca, no scale",KNN,2,50,0.1438065097440412
204,scale+pca,KNN,3,50,0.31170758089866557
205,"pca, no scale",KNN,3,50,0.14999835726029898
206,"no pca, no scale",KNN,3,50,0.1438065097440412
207,scale+pca,KNN,4,50,0.31430131428881825
208,"pca, no scale",KNN,4,50,0.15000464543539893
209,"no pca, no scale",KNN,4,50,0.1438065097440412
210,scale+pca,KNN,5,50,0.3214987916394334
211,"pca, no scale",KNN,5,50,0.14780341528839536
212,"no pca, no scale",KNN,5,50,0.1438065097440412
213,scale+pca,KNN,6,50,0.32276233297872003
214,"pca, no scale",KNN,6,50,0.14391314977873182
215,"no pca, no scale",KNN,6,50,0.1438065097440412
216,scale+pca,KNN,1,51,0.10210325851531821
217,"pca, no scale",KNN,1,51,0.033638437192108905
218,"no pca, no scale",KNN,1,51,0.14364768148049234
219,scale+pca,KNN,2,51,0.27250632780737416
220,"pca, no scale",KNN,2,51,0.054770577159636735
221,"no pca, no scale",KNN,2,51,0.14364768148049234
222,scale+pca,KNN,3,51,0.3115338989320323
223,"pca, no scale",KNN,3,51,0.1496702557404247
224,"no pca, no scale",KNN,3,51,0.14364768148049234
225,scale+pca,KNN,4,51,0.3142570480622833
226,"pca, no scale",KNN,4,51,0.14967044499891569
227,"no pca, no scale",KNN,4,51,0.14364768148049234
228,scale+pca,KNN,5,51,0.3214671487377083
229,"pca, no scale",KNN,5,51,0.1475545680868643
230,"no pca, no scale",KNN,5,51,0.14364768148049234
231,scale+pca,KNN,6,51,0.3228522986491469
232,"pca, no scale",KNN,6,51,0.14360376819902232
233,"no pca, no scale",KNN,6,51,0.14364768148049234
234,scale+pca,KNN,1,52,0.10261857001188812
235,"pca, no scale",KNN,1,52,0.033756704096095214
236,"no pca, no scale",KNN,1,52,0.14303698263919595
237,scale+pca,KNN,2,52,0.27232859080818994
238,"pca, no scale",KNN,2,52,0.05441538223337117
239,"no pca, no scale",KNN,2,52,0.14303698263919595
240,scale+pca,KNN,3,52,0.3113412519405617
241,"pca, no scale",KNN,3,52,0.14943374593805647
242,"no pca, no scale",KNN,3,52,0.14303698263919595
243,scale+pca,KNN,4,52,0.3138813435032687
244,"pca, no scale",KNN,4,52,0.1493042400677803
245,"no pca, no scale",KNN,4,52,0.14303698263919595
246,scale+pca,KNN,5,52,0.3211173537742966
247,"pca, no scale",KNN,5,52,0.1470280319170717
248,"no pca, no scale",KNN,5,52,0.14303698263919595
249,scale+pca,KNN,6,52,0.3228200501173406
250,"pca, no scale",KNN,6,52,0.14305773324840643
251,"no pca, no scale",KNN,6,52,0.14303698263919595
252,scale+pca,KNN,1,53,0.10317481097661174
253,"pca, no scale",KNN,1,53,0.03384835868526104
254,"no pca, no scale",KNN,1,53,0.14239930729563133
255,scale+pca,KNN,2,53,0.2721997497998533
256,"pca, no scale",KNN,2,53,0.05409341201424389
257,"no pca, no scale",KNN,2,53,0.14239930729563133
258,scale+pca,KNN,3,53,0.3116242227566385
259,"pca, no scale",KNN,3,53,0.14899077563283059
260,"no pca, no scale",KNN,3,53,0.14239930729563133
261,scale+pca,KNN,4,53,0.3138644831099766
262,"pca, no scale",KNN,4,53,0.14880891807874652
263,"no pca, no scale",KNN,4,53,0.14239930729563133
264,scale+pca,KNN,5,53,0.3210473445696994
265,"pca, no scale",KNN,5,53,0.14645292661333442
266,"no pca, no scale",KNN,5,53,0.14239930729563133
267,scale+pca,KNN,6,53,0.3226603128476587
268,"pca, no scale",KNN,6,53,0.1423783243577722
269,"no pca, no scale",KNN,6,53,0.14239930729563133
270,scale+pca,KNN,1,54,0.10375444083991447
271,"pca, no scale",KNN,1,54,0.03397746620864861
272,"no pca, no scale",KNN,1,54,0.14222298925804133
273,scale+pca,KNN,2,54,0.2726433143570117
274,"pca, no scale",KNN,2,54,0.05392655484704956
275,"no pca, no scale",KNN,2,54,0.14222298925804133
276,scale+pca,KNN,3,54,0.311473609330724
277,"pca, no scale",KNN,3,54,0.1486473552295955
278,"no pca, no scale",KNN,3,54,0.14222298925804133
279,scale+pca,KNN,4,54,0.31398190334136955
280,"pca, no scale",KNN,4,54,0.14878742699952563
281,"no pca, no scale",KNN,4,54,0.14222298925804133
282,scale+pca,KNN,5,54,0.3212787366541445
283,"pca, no scale",KNN,5,54,0.14614761581648894
284,"no pca, no scale",KNN,5,54,0.14222298925804133
285,scale+pca,KNN,6,54,0.32290105853186124
286,"pca, no scale",KNN,6,54,0.1423184299776422
287,"no pca, no scale",KNN,6,54,0.14222298925804133
288,scale+pca,KNN,1,55,0.10416932371446075
289,"pca, no scale",KNN,1,55,0.0340232058260298
290,"no pca, no scale",KNN,1,55,0.1422006289628105
291,scale+pca,KNN,2,55,0.2729874185062251
292,"pca, no scale",KNN,2,55,0.05354238726599936
293,"no pca, no scale",KNN,2,55,0.1422006289628105
294,scale+pca,KNN,3,55,0.31107959350422953
295,"pca, no scale",KNN,3,55,0.14829075028566852
296,"no pca, no scale",KNN,3,55,0.1422006289628105
297,scale+pca,KNN,4,55,0.31351759453944794
298,"pca, no scale",KNN,4,55,0.1484542235033629
299,"no pca, no scale",KNN,4,55,0.1422006289628105
300,scale+pca,KNN,5,55,0.3211676532824119
301,"pca, no scale",KNN,5,55,0.14599910319365883
302,"no pca, no scale",KNN,5,55,0.1422006289628105
303,scale+pca,KNN,6,55,0.3228511087734611
304,"pca, no scale",KNN,6,55,0.14213834396508362
305,"no pca, no scale",KNN,6,55,0.1422006289628105
